transaction_id,customer_id,transaction_date,amount
TXN_10000,CUST_0000,2023-04-25,75.27
TXN_10001,CUST_0001,2023-12-20,29.7
TXN_10002,CUST_0002,2023-11-18,49.53
TXN_10003,CUST_0003,2023-10-05,51.41
TXN_10004,CUST_0004,2023-05-16,86.07
TXN_10005,CUST_0005,2023-08-15,198.43
TXN_10006,CUST_0005,2023-07-29,88.25
TXN_10007,CUST_0005,2023-07-08,55.95
TXN_10008,CUST_0005,2023-11-07,118.81
TXN_10009,CUST_0005,2023-12-31,107.99
TXN_10010,CUST_0005,2023-09-19,81.25
TXN_10011,CUST_0006,2023-02-14,96.56
TXN_10012,CUST_0007,2023-08-22,217.62
TXN_10013,CUST_0007,2023-05-15,141.44
TXN_10014,CUST_0007,2023-09-20,247.52
TXN_10015,CUST_0007,2023-10-22,102.29
TXN_10016,CUST_0007,2023-05-01,130.01
TXN_10017,CUST_0007,2023-08-09,130.75
TXN_10018,CUST_0007,2023-06-09,211.98
TXN_10019,CUST_0007,2023-05-22,217.05
TXN_10020,CUST_0007,2023-05-28,92.13
TXN_10021,CUST_0007,2023-06-04,194.18
TXN_10022,CUST_0007,2023-04-24,61.16
TXN_10023,CUST_0007,2023-12-31,56.24
TXN_10024,CUST_0007,2023-06-25,151.14
TXN_10025,CUST_0008,2023-05-23,144.88
TXN_10026,CUST_0008,2023-06-08,170.49
TXN_10027,CUST_0008,2023-05-14,149.16
TXN_10028,CUST_0008,2023-05-18,80.48
TXN_10029,CUST_0008,2023-05-21,57.97
TXN_10030,CUST_0008,2023-09-20,82.14
TXN_10031,CUST_0008,2023-11-30,242.93
TXN_10032,CUST_0009,2023-10-19,74.41
TXN_10033,CUST_0009,2023-12-20,225.09
TXN_10034,CUST_0009,2023-08-23,186.42
TXN_10035,CUST_0009,2023-09-14,94.35
TXN_10036,CUST_0009,2023-12-31,20.93
TXN_10037,CUST_0009,2023-08-17,137.22
TXN_10038,CUST_0009,2023-09-08,153.4
TXN_10039,CUST_0009,2023-10-11,161.52
TXN_10040,CUST_0009,2023-09-17,27.58
TXN_10041,CUST_0009,2023-08-26,69.53
TXN_10042,CUST_0010,2023-12-06,61.88
TXN_10043,CUST_0011,2023-04-22,237.9
TXN_10044,CUST_0012,2023-04-30,70.96
TXN_10045,CUST_0012,2023-11-07,125.0
TXN_10046,CUST_0012,2023-06-04,193.74
TXN_10047,CUST_0012,2023-04-24,129.51
TXN_10048,CUST_0012,2023-05-29,155.27
TXN_10049,CUST_0012,2023-12-31,195.82
TXN_10050,CUST_0012,2023-05-24,209.47
TXN_10051,CUST_0012,2023-04-26,22.16
TXN_10052,CUST_0012,2023-04-30,95.0
TXN_10053,CUST_0013,2023-12-27,125.06
TXN_10054,CUST_0013,2023-12-28,44.0
TXN_10055,CUST_0013,2023-12-27,80.44
TXN_10056,CUST_0013,2023-12-29,233.17
TXN_10057,CUST_0013,2023-12-31,202.06
TXN_10058,CUST_0014,2023-06-30,124.44
TXN_10059,CUST_0014,2023-09-14,230.02
TXN_10060,CUST_0014,2023-06-15,231.76
TXN_10061,CUST_0014,2023-08-24,158.53
TXN_10062,CUST_0014,2023-06-16,28.05
TXN_10063,CUST_0014,2023-07-30,168.11
TXN_10064,CUST_0014,2023-06-17,145.77
TXN_10065,CUST_0014,2023-10-16,211.24
TXN_10066,CUST_0014,2023-12-04,100.98
TXN_10067,CUST_0014,2023-06-28,191.12
TXN_10068,CUST_0015,2023-09-04,70.09
TXN_10069,CUST_0015,2023-06-13,22.07
TXN_10070,CUST_0015,2023-12-31,171.95
TXN_10071,CUST_0015,2023-12-08,77.39
TXN_10072,CUST_0015,2023-07-23,174.45
TXN_10073,CUST_0015,2023-06-09,214.31
TXN_10074,CUST_0015,2023-12-26,222.94
TXN_10075,CUST_0015,2023-08-23,80.2
TXN_10076,CUST_0015,2023-06-05,241.39
TXN_10077,CUST_0016,2023-08-28,180.97
TXN_10078,CUST_0017,2023-11-11,94.89
TXN_10079,CUST_0017,2023-11-06,119.06
TXN_10080,CUST_0017,2023-11-10,95.7
TXN_10081,CUST_0017,2023-12-08,234.84
TXN_10082,CUST_0018,2023-10-01,233.23
TXN_10083,CUST_0019,2023-12-10,53.26
TXN_10084,CUST_0020,2023-10-30,120.46
TXN_10085,CUST_0020,2023-12-17,59.51
TXN_10086,CUST_0020,2023-10-21,29.12
TXN_10087,CUST_0020,2023-12-15,167.17
TXN_10088,CUST_0020,2023-10-28,56.64
TXN_10089,CUST_0020,2023-10-29,41.98
TXN_10090,CUST_0020,2023-12-27,199.29
TXN_10091,CUST_0020,2023-11-04,218.27
TXN_10092,CUST_0020,2023-10-27,183.52
TXN_10093,CUST_0021,2023-11-18,228.66
TXN_10094,CUST_0021,2023-08-01,177.4
TXN_10095,CUST_0021,2023-07-29,59.79
TXN_10096,CUST_0022,2023-10-16,116.04
TXN_10097,CUST_0023,2023-06-22,129.17
TXN_10098,CUST_0023,2023-06-18,175.31
TXN_10099,CUST_0023,2023-12-30,47.22
TXN_10100,CUST_0023,2023-09-08,163.58
TXN_10101,CUST_0023,2023-08-08,106.68
TXN_10102,CUST_0023,2023-07-09,25.63
TXN_10103,CUST_0023,2023-06-26,18.57
TXN_10104,CUST_0024,2023-12-09,148.15
TXN_10105,CUST_0024,2023-11-28,226.12
TXN_10106,CUST_0024,2023-11-18,91.8
TXN_10107,CUST_0024,2023-11-10,209.24
TXN_10108,CUST_0024,2023-12-07,39.55
TXN_10109,CUST_0024,2023-11-24,124.04
TXN_10110,CUST_0025,2023-12-31,65.45
TXN_10111,CUST_0026,2023-10-13,188.63
TXN_10112,CUST_0027,2023-10-09,140.09
TXN_10113,CUST_0028,2023-12-12,148.47
TXN_10114,CUST_0029,2023-12-08,207.4
TXN_10115,CUST_0030,2023-03-03,198.78
TXN_10116,CUST_0030,2023-03-28,48.91
TXN_10117,CUST_0030,2023-03-12,21.4
TXN_10118,CUST_0030,2023-05-14,66.29
TXN_10119,CUST_0030,2023-12-31,149.99
TXN_10120,CUST_0030,2023-03-15,176.86
